Linear Detection Measurement - Goesser_25_65_
Pose p; Framenumber n; number of detected matches; targetpose px[m]; py[m]; pz[m]; rotx[°]; roty[°]; rotz[°]
Pose p; calculate Median
Pose p; calculate Mittelwert
Pose p; calculate Spannweite
Pose p; calculate Stdev
12; 18; 36; 0.0623726; -0.204229; 1.88484; 54.0723; -163.787; 9.51997
12; 19; 44; 0.073374; -0.16235; 1.72313; 58.9193; -161.923; 6.84021
12; 20; 34; 0.0704663; -0.179225; 1.78492; 58.358; -161.409; 7.41126
12; Median; 40; 0.0753192; -0.162414; 1.72351; 7.33449; -159.839; 58.9503
12; Mean; 39.05; 0.0725983; -0.167487; 1.73357; 7.31036; -160.769; 58.7995
12; Range; 18; 0.0314465; 0.0492944; 0.219135; 11.7188; 11.333; 10.4481
12; Stdev; 4.64193; 0.00792406; 0.0109148; 0.0451125; 2.25716; 2.80117; 2.33264
13; 1; 39; -0.0510716; -0.0850773; 1.80228; 106.167; 171.405; 5.10616
13; 2; 27; 0.0377227; -0.193264; 1.79813; 58.6304; -159.564; 8.65082
13; 3; 36; -0.0697839; -0.0633834; 1.66472; 107.591; 153.314; 0.720594
13; 4; 40; 0.0463874; -0.209197; 1.76402; 52.8465; -158.678; 9.28167
13; 5; 35; 0.0418858; -0.199528; 1.79099; 56.2316; -159.182; 9.02915
13; 6; 44; 0.0403489; -0.203573; 1.81957; 56.5137; -161.174; 9.42402
13; 7; 45; 0.0334318; -0.18436; 1.77022; 59.9456; -161.357; 7.04487
13; 8; 53; -0.0338707; -0.0662561; 1.75622; 112.543; 179.807; 3.24135
13; 9; 40; 0.0360023; -0.19195; 1.80029; 59.4406; -161.505; 7.31351
13; 10; 39; 0.0427636; -0.212123; 1.75237; 50.9973; -159.645; 10.7946
13; 11; 39; 0.0419746; -0.208161; 1.77209; 51.8021; -160.848; 9.24862
13; 12; 40; 0.0356528; -0.197052; 1.78403; 56.7866; -159.997; 11.11
13; 13; 46; 0.0437984; -0.210721; 1.80453; 53.9905; -159.348; 8.4227
13; 14; 36; 0.0371832; -0.188454; 1.76596; 58.2959; -158.267; 11.5145
13; 15; 34; 0.04371; -0.190156; 1.83055; 61.2035; -158.613; 6.65068
13; 16; 41; 0.0308143; -0.195069; 1.78233; 57.5306; -161.353; 10.8703
